ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00440.jpeg.json,761.0,43.0,1070.0,447.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00441.jpeg.json,766.6472625732422,38.080657958984375,1059.1167755126953,463.8273010253906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00442.jpeg.json,765.9474945068359,44.073638916015625,1068.261734008789,480.5946960449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00443.jpeg.json,768.2385864257812,57.102813720703125,1084.0321655273438,485.4650573730469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00444.jpeg.json,751.0,62.0,1104.0,497.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00445.jpeg.json,766.4154968261719,51.81715393066406,1081.9807434082031,509.78355407714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00446.jpeg.json,764.2127838134766,57.418426513671875,1086.603988647461,514.3905334472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00447.jpeg.json,762.1967163085938,62.284881591796875,1094.2398071289062,515.3268127441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00448.jpeg.json,736.0,72.0,1123.0,499.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__26-teste-camisa-com-botoes/ann/00449.jpeg.json,735.7556610107422,70.65887451171875,1108.1398468017578,504.80145263671875
