seq_label,img_name,confidence,class,x_min,y_min,x_max,y_max
person-14,00000001.jpg,1,person,240.0,25.0,350.0,340.0
person-14,00000002.jpg,1,person,240.36,24.55,350.45,336.99
person-14,00000003.jpg,1,person,241.35,24.02,351.28,334.76
person-14,00000004.jpg,1,person,237.89,22.02,345.86,330.76
person-14,00000005.jpg,1,person,238.81,20.87,347.55,333.3
person-14,00000006.jpg,1,person,241.62,21.64,349.4,328.32
person-14,00000007.jpg,1,person,244.69,20.69,350.18,327.22
person-14,00000008.jpg,1,person,238.46,21.59,350.41,326.11
person-14,00000009.jpg,1,person,241.73,26.7,352.87,326.27
person-14,00000010.jpg,1,person,237.08,28.33,351.72,326.05
person-14,00000011.jpg,1,person,244.13,26.54,349.52,325.24
person-14,00000012.jpg,1,person,240.45,21.97,352.38,319.61
person-14,00000013.jpg,1,person,235.24,30.47,356.16,318.65
person-14,00000014.jpg,1,person,235.75,29.38,355.98,317.05
person-14,00000015.jpg,1,person,232.17,31.88,358.84,316.83
person-14,00000016.jpg,1,person,232.16,28.68,358.86,315.59
person-14,00000017.jpg,1,person,231.64,31.43,362.62,315.68
person-14,00000018.jpg,1,person,224.32,30.63,366.32,310.83
person-14,00000019.jpg,1,person,222.64,32.28,367.07,312.45
person-14,00000020.jpg,1,person,214.91,31.98,363.19,312.97
person-14,00000021.jpg,1,person,219.82,29.87,358.86,313.15
person-14,00000022.jpg,1,person,227.76,31.34,355.57,312.4
person-14,00000023.jpg,1,person,225.06,28.35,356.42,311.6
person-14,00000024.jpg,1,person,222.99,32.43,349.04,307.84
person-14,00000025.jpg,1,person,225.44,31.5,343.81,306.08
person-14,00000026.jpg,1,person,224.76,34.05,340.6,307.91
person-14,00000027.jpg,1,person,223.68,33.16,334.43,308.05
person-14,00000028.jpg,1,person,228.66,32.15,333.34,307.31
person-14,00000029.jpg,1,person,225.55,33.83,332.21,307.36
person-14,00000030.jpg,1,person,235.52,36.59,334.84,310.32
person-14,00000031.jpg,1,person,241.35,36.56,348.7,310.44
person-14,00000032.jpg,1,person,234.93,35.27,344.85,310.54
person-14,00000033.jpg,1,person,233.7,40.66,345.71,313.11
person-14,00000034.jpg,1,person,229.77,44.22,340.09,313.75
person-14,00000035.jpg,1,person,231.57,43.39,343.46,313.68
person-14,00000036.jpg,1,person,231.1,39.85,336.58,311.77
person-14,00000037.jpg,1,person,230.63,40.67,337.22,311.15
person-14,00000038.jpg,1,person,232.73,41.16,338.9,312.47
person-14,00000039.jpg,1,person,234.01,40.99,337.59,311.1
person-14,00000040.jpg,1,person,237.23,39.85,338.56,309.86
person-14,00000041.jpg,1,person,237.12,40.91,339.29,309.76
person-14,00000042.jpg,1,person,243.57,36.44,339.5,307.26
person-14,00000043.jpg,1,person,243.24,35.66,337.84,305.95
person-14,00000044.jpg,1,person,243.23,34.78,334.39,304.46
person-14,00000045.jpg,1,person,243.26,34.13,337.01,301.23
person-14,00000046.jpg,1,person,243.63,33.1,339.29,300.3
person-14,00000047.jpg,1,person,243.94,33.13,338.58,300.08
person-14,00000048.jpg,1,person,240.34,34.79,335.47,299.75
person-14,00000049.jpg,1,person,240.67,32.48,341.09,300.72
person-14,00000050.jpg,1,person,239.14,32.91,344.9,298.65
person-14,00000051.jpg,1,person,239.9,34.12,331.81,298.46
person-14,00000052.jpg,1,person,234.86,31.64,330.65,297.47
person-14,00000053.jpg,1,person,234.28,33.1,328.81,297.82
person-14,00000054.jpg,1,person,221.93,33.44,333.26,295.07
person-14,00000055.jpg,1,person,216.8,34.22,334.72,294.55
person-14,00000056.jpg,1,person,213.74,32.57,334.98,292.45
person-14,00000057.jpg,1,person,214.14,32.99,334.53,291.55
person-14,00000058.jpg,1,person,217.16,32.47,335.25,292.3
person-14,00000059.jpg,1,person,217.44,33.31,335.35,293.35
person-14,00000060.jpg,1,person,222.92,34.25,337.99,292.25
person-14,00000061.jpg,1,person,222.58,33.35,338.52,290.67
person-14,00000062.jpg,1,person,224.19,32.32,337.81,289.64
person-14,00000063.jpg,1,person,225.58,30.35,337.57,289.1
person-14,00000064.jpg,1,person,226.02,26.67,336.72,286.95
person-14,00000065.jpg,1,person,227.43,26.24,336.87,287.19
person-14,00000066.jpg,1,person,228.81,24.11,333.97,285.68
person-14,00000067.jpg,1,person,227.78,27.11,328.66,287.84
person-14,00000068.jpg,1,person,225.48,26.52,323.22,288.11
person-14,00000069.jpg,1,person,226.21,27.07,317.15,287.06
person-14,00000070.jpg,1,person,222.12,28.3,311.11,288.04
person-14,00000071.jpg,1,person,225.4,27.62,312.75,289.12
person-14,00000072.jpg,1,person,218.16,27.59,306.55,287.19
person-14,00000073.jpg,1,person,219.19,29.64,309.8,286.73
person-14,00000074.jpg,1,person,218.71,28.95,313.37,288.46
person-14,00000075.jpg,1,person,216.57,28.92,314.86,287.21
person-14,00000076.jpg,1,person,210.91,29.18,318.65,287.42
person-14,00000077.jpg,1,person,210.14,30.31,318.92,286.04
person-14,00000078.jpg,1,person,203.48,34.64,323.62,287.98
person-14,00000079.jpg,1,person,203.1,35.66,327.76,287.24
person-14,00000080.jpg,1,person,204.63,37.53,332.76,288.2
person-14,00000081.jpg,1,person,205.99,40.09,336.21,289.41
person-14,00000082.jpg,1,person,208.33,39.95,337.7,288.91
person-14,00000083.jpg,1,person,207.19,39.06,337.93,290.36
person-14,00000084.jpg,1,person,213.63,40.37,343.72,290.83
person-14,00000085.jpg,1,person,216.63,39.54,346.03,291.14
person-14,00000086.jpg,1,person,219.66,39.67,347.52,290.09
person-14,00000087.jpg,1,person,221.38,36.9,348.43,288.79
person-14,00000088.jpg,1,person,221.84,36.68,351.0,290.42
person-14,00000089.jpg,1,person,222.2,37.19,350.87,289.52
person-14,00000090.jpg,1,person,223.51,35.14,353.81,290.17
person-14,00000091.jpg,1,person,221.54,32.93,355.64,292.21
person-14,00000092.jpg,1,person,224.04,32.29,358.37,294.84
person-14,00000093.jpg,1,person,226.19,32.28,359.46,294.14
person-14,00000094.jpg,1,person,226.49,30.38,362.79,294.31
person-14,00000095.jpg,1,person,225.43,30.23,362.39,295.1
person-14,00000096.jpg,1,person,230.57,33.16,364.88,294.49
person-14,00000097.jpg,1,person,233.59,29.66,355.62,287.23
person-14,00000098.jpg,1,person,232.6,30.54,349.5,285.99
person-14,00000099.jpg,1,person,235.17,26.59,346.19,283.17
person-14,00000100.jpg,1,person,237.59,26.83,340.28,282.9
person-14,00000101.jpg,1,person,237.4,26.27,340.52,286.12
person-14,00000102.jpg,1,person,246.34,26.61,345.11,280.59
person-14,00000103.jpg,1,person,246.0,30.0,348.0,286.0
person-14,00000104.jpg,1,person,245.74,25.32,347.13,284.23
person-14,00000105.jpg,1,person,252.0,23.78,352.06,282.14
person-14,00000106.jpg,1,person,251.11,23.39,351.12,280.96
person-14,00000107.jpg,1,person,251.67,22.85,351.78,279.88
person-14,00000108.jpg,1,person,247.36,22.04,358.18,280.37
person-14,00000109.jpg,1,person,246.53,23.53,359.91,277.29
person-14,00000110.jpg,1,person,247.29,21.97,360.65,276.28
person-14,00000111.jpg,1,person,253.25,20.26,364.62,276.2
person-14,00000112.jpg,1,person,255.85,19.12,364.92,277.4
person-14,00000113.jpg,1,person,254.9,19.98,364.73,278.17
person-14,00000114.jpg,1,person,258.96,20.37,366.5,277.43
person-14,00000115.jpg,1,person,261.31,19.04,369.03,277.45
person-14,00000116.jpg,1,person,263.07,17.89,370.42,277.75
person-14,00000117.jpg,1,person,264.89,18.07,370.47,276.36
person-14,00000118.jpg,1,person,267.32,14.88,371.81,274.5
person-14,00000119.jpg,1,person,267.76,16.52,372.57,275.03
person-14,00000120.jpg,1,person,272.35,14.98,371.98,275.25
person-14,00000121.jpg,1,person,274.29,16.33,369.85,275.45
person-14,00000122.jpg,1,person,273.6,17.18,366.29,276.91
person-14,00000123.jpg,1,person,274.63,14.74,365.4,275.1
person-14,00000124.jpg,1,person,273.45,15.22,364.1,274.97
person-14,00000125.jpg,1,person,274.15,14.65,366.3,273.36
person-14,00000126.jpg,1,person,271.52,17.34,363.85,273.55
person-14,00000127.jpg,1,person,265.72,16.53,364.05,274.6
person-14,00000128.jpg,1,person,257.8,15.77,363.29,272.72
person-14,00000129.jpg,1,person,246.65,14.94,364.45,273.83
person-14,00000130.jpg,1,person,235.47,15.18,363.89,275.54
person-14,00000131.jpg,1,person,236.27,17.5,364.74,273.55
person-14,00000132.jpg,1,person,225.5,15.88,366.75,272.17
person-14,00000133.jpg,1,person,225.2,17.16,369.49,272.85
person-14,00000134.jpg,1,person,222.19,16.29,369.45,272.77
person-14,00000135.jpg,1,person,221.35,15.81,368.28,273.48
person-14,00000136.jpg,1,person,225.71,14.47,368.45,275.34
person-14,00000137.jpg,1,person,224.42,13.73,368.84,275.21
person-14,00000138.jpg,1,person,232.81,12.06,366.26,278.83
person-14,00000139.jpg,1,person,235.68,12.71,364.81,280.03
person-14,00000140.jpg,1,person,238.68,11.06,364.68,281.75
person-14,00000141.jpg,1,person,239.72,10.94,364.61,282.34
person-14,00000142.jpg,1,person,240.84,9.95,362.65,284.03
person-14,00000143.jpg,1,person,240.44,7.18,363.97,284.25
person-14,00000144.jpg,1,person,243.77,5.85,359.82,284.84
person-14,00000145.jpg,1,person,243.78,5.66,358.64,285.42
person-14,00000146.jpg,1,person,243.52,6.36,355.82,284.75
person-14,00000147.jpg,1,person,242.97,8.63,351.29,286.83
person-14,00000148.jpg,1,person,242.07,9.9,349.61,288.23
person-14,00000149.jpg,1,person,243.38,10.09,350.74,287.26
person-14,00000150.jpg,1,person,241.3,11.3,344.99,288.86
person-14,00000151.jpg,1,person,240.52,13.66,340.25,290.39
person-14,00000152.jpg,1,person,239.53,14.61,338.96,291.67
person-14,00000153.jpg,1,person,237.57,15.77,341.29,295.34
person-14,00000154.jpg,1,person,237.25,17.46,341.75,297.92
person-14,00000155.jpg,1,person,238.25,16.27,342.47,298.46
person-14,00000156.jpg,1,person,237.86,19.95,338.12,303.31
person-14,00000157.jpg,1,person,232.55,21.31,337.19,303.52
